name,park,country,score,status,manufacturer,construction,launch,restraint,type,opening_year,height,speed,length,inversions
Back Lot Stunt Coaster,Kings Dominion,United States,51.2,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2006,45.9312,39.767744,1958.6376,0
InvadR,Busch Gardens Williamsburg,United States,51.1,Operating,GCI,Hybrid,NA,Lap bar,Twister,2017,75.4584,47.845567,NA,0
The Raven,Holiday World,United States,51.1,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,1995,108.2664,47.845567,2729.6256,0
Raging Spirits,Tokyo DisneySea,Japan,51,Operating,Intamin,Steel,Chain lift hill,Shoulder harness,Looper,2005,52.4928,37.28226,1968.48,1
Pandemonium,Six Flags Fiesta Texas,United States,51,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2007,52.4928,31.06855,1351.6896,0
Dare Devil Dive,Six Flags Over Georgia,United States,50.9,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,"Looper, Euro-Fighter",2011,95.1432,52.195164,2099.712,3
"Correcaminos Bip, Bip",Parque Warner Madrid,Spain,50.8,Operating,Mack,Steel,Booster wheel lift hill,Lap bar,YoungStar,2009,52.4928,37.28226,1574.784,0
Tonnerre de Zeus,Parc Asterix,France,50.8,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,1997,98.424,52.195164,4045.2264,0
Flight of Fear,Kings Island,United States,50.8,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,1996,75.4584,54.059277,2706.66,4
Mamba,Worlds of Fun,United States,50.5,Operating,Morgan,Steel,Chain lift hill,Lap bar,Hyper,1998,206.6904,74.56452,5577.36,0
Vampire,Chessington World of Adventures,United Kingdom,50.4,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,NA,1990,55.7736,45.981454,2349.0528,0
Undertow,Santa Cruz Beach Boardwalk,United States,50.4,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2013,49.212,39.767744,1410.744,0
Blue Streak,Cedar Point,United States,50.2,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Out & Back,1964,78.7392,39.767744,2559.024,0
Spinball Whizzer,Alton Towers,United Kingdom,50.2,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2004,55.7736,37.28226,1476.36,0
Speed Rockets,Jardin d'Acclimatation,France,50.2,Operating,Gerstlauer,"Bobsled, Family",Chain lift hill,Lap bar,NA,2018,36.0888,NA,1312.32,0
Skatteøen,Djurs Sommerland,Denmark,49.9,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,2011,91.8624,43.49597,1492.764,0
Heiße Fahrt,Klotten (Wild- und Freizeitpark),Germany,49.8,Operating,Gerstlauer,Steel,Chain lift hill,Unknown,Bobsled,2004,55.7736,34.175405,1745.3856,0
Kvasten,Gröna Lund,Sweden,49.7,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Family,NA,65.616,34.175405,1312.32,0
Sooperdooperlooper,Hersheypark,United States,49.7,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,Looper,1977,NA,NA,NA,1
Speed,Energylandia,Poland,49.6,Operating,Intamin,Steel,Vertical lift,None,NA,2018,164.04,68.35081,NA,0
Pandemonium,Six Flags St Louis,United States,49.5,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2007,52.4928,31.06855,1351.6896,0
Jack Rabbit,Kennywood,United States,49.2,Operating,ACE Coaster Classic,Steel,Chain lift hill,Lap bar,NA,1921,68.8968,44.738712,2132.52,0
Scorpion,Busch Gardens Tampa,United States,49.1,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,Looper,1981,65.616,49.70968,1811.0016,1
Pegasus,Europa Park,Germany,49.1,Operating,Mack,Steel,Booster wheel lift hill,Lap bar,YoungStar,2006,49.212,40.389115,1312.32,0
Xpress : Platform 13,Walibi Holland,Netherlands,48.9,Operating,Vekoma,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,NA,2000,85.3008,55.92339,3267.6768,3
Diabolik,Movieland Park,Italy,48.7,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Invertigo,NA,131.232,49.70968,1017.048,3
Loup Garou,Walibi Belgium,Belgium,48.7,Operating,Vekoma,Wooden,Chain lift hill,Lap bar,Twister,2001,91.8624,49.70968,3395.628,0
Comet,Great Escape,United States,48.6,Operating,Philadelphia Toboggan Coaster,Steel,Chain lift hill,Lap bar,NA,1994,95.1432,55.302019,4196.1432,0
Revolution,Blackpool Pleasure Beach,United Kingdom,48.3,Operating,Arrow,Steel,NA,Shoulder harness,Shuttle,1979,55.7736,44.738712,633.1944,1
Gao,Greenland,Japan,48.3,Operating,Meisho Amusement Machines,NA,Chain lift hill,Common lap bar,NA,1998,131.232,60.894358,5459.2512,0
Matterhorn Bobsleds (B),Disneyland,United States,48.3,Operating,Arrow,Steel,Chain lift hill,Unknown,Bobsled,1959,78.7392,26.718953,2132.52,0
Regina,Tobu Zoo Park,Japan,48.3,Operating,Intamin,Steel,Chain lift hill,Lap bar,NA,2000,121.3896,55.92339,4376.5872,0
Poltergeist,Six Flags Fiesta Texas,United States,48.3,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,NA,1999,78.7392,60.272987,2706.66,4
Steel Hawg,Indiana Beach,United States,48,Operating,S&S,Steel,Chain lift hill,Unknown,NA,2008,95.1432,40.389115,NA,3
Fuga da Atlantide,Gardaland,Italy,47.8,Operating,Intamin,Steel,Cable lift hill,None,NA,2003,55.7736,37.28226,2296.56,0
Poseïdon,Europa Park,Germany,47.8,Operating,Mack,Steel,Chain lift hill,Lap bar,Family,NA,75.4584,43.49597,2742.7488,0
Divertical,Mirabilandia,Italy,47.7,Operating,Intamin,Steel,Vertical lift,Lap bar,NA,2012,164.04,68.35081,NA,0
Rutschebanen,Bakken,Denmark,47.7,Operating,ACE Coaster Classic,Steel,Cable lift hill,Lap bar,NA,1932,72.1776,46.602825,3238.1496,0
Thor's Hammer,Djurs Sommerland,Denmark,47.7,Operating,Gerstlauer,Steel,NA,Unknown,Bobsled,2002,NA,NA,NA,0
Booster Bike,Toverland,Netherlands,47.4,Operating,Vekoma,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2004,49.212,46.602825,1968.48,0
Racer,Kings Island,United States,47.4,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,NA,1972,88.5816,60.894358,3412.032,0
Freedom Flyer,Fun Spot America,United States,47.3,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Family,NA,65.616,34.175405,1295.916,0
Avalanche,Blackpool Pleasure Beach,United Kingdom,47.3,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,1988,65.616,31.06855,1492.764,0
Gemini (Red),Cedar Point,United States,47.3,Operating,Arrow,Hybrid,Chain lift hill,Lap bar,NA,1978,124.6704,59.651616,3936.96,0
Whizzer,Six Flags Great America,United States,47.2,Operating,Schwarzkopf,Steel,Electrical lift hill,None,Speed Racer / Extended Jumbo Jet,1976,68.8968,42.253228,3100.356,0
Hankatten,Bonbon-Land,Denmark,46.5,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2007,52.4928,34.175405,1302.4776,0
Stinger,Dorney Park,United States,46.3,Definitely closed,Vekoma,Steel,Chain lift hill,Shoulder harness,"Shuttle, Invertigo",2012,131.232,49.70968,1017.048,3
Cobra,PowerPark,Finland,46.2,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,Shuttle,2005,118.1088,47.224196,935.028,3
Spinning Dragons,Worlds of Fun,United States,46.2,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2004,55.7736,31.06855,1345.128,0
Thunderbolt,Six Flags New England,United States,46,Operating,"Drambour, Joseph",Wooden,Chain lift hill,Lap bar,Twister,1941,68.8968,NA,2864.1384,0
Fiorano GT Challenge (Left),Ferrari World,United Arab Emirates,45.8,Operating,Maurer,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2010,NA,NA,3280.8,0
Huracan,Bellewaerde,Belgium,45.8,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,NA,2013,49.212,31.06855,1640.4,0
Sky Rocket,Kennywood,United States,45.7,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,"Rocket, Looper",2010,95.1432,49.70968,2099.712,3
Wild Train,Parc Saint Paul,France,45.7,Operating,Pax,Steel,Booster wheel lift hill,Lap bar,NA,2000,49.212,43.49597,1082.664,0
Zeus,Mt. Olympus Water & Theme Park,United States,45.6,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,1997,88.5816,60.272987,2900.2272,0
Vortex,Canada's Wonderland,Canada,45.4,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,NA,1991,91.8624,55.302019,2559.024,0
Racer 75 (Left Side),Kings Dominion,United States,44.8,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,NA,1975,85.3008,55.92339,3369.3816,0
Cobra's Curse,Busch Gardens Tampa,United States,44.7,Operating,Mack,Steel,Vertical lift,Lap bar,NA,2016,68.8968,40.389115,2099.712,0
New Revolution,Six Flags Magic Mountain,United States,44.5,Operating,Schwarzkopf,Steel,NA,Lap bar,Looper,1976,111.5472,55.302019,3457.9632,1
Racer,Kennywood,United States,44.3,Operating,John Miller,Steel,Chain lift hill,Lap bar,NA,1927,72.1776,NA,2250.6288,0
Big Dipper,Blackpool Pleasure Beach,United Kingdom,44.2,Operating,William Strickler,Wooden,Chain lift hill,Lap bar,NA,1923,59.0544,NA,3300.4848,0
Screamin' Eagle,Six Flags St Louis,United States,43.6,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1976,111.5472,62.1371,3871.344,0
La Trace du Hourra,Parc Asterix,France,43.6,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,2001,101.7048,37.28226,2952.72,0
Bobbaan,Efteling,Netherlands,43.6,Operating,Giovanola,Steel,Chain lift hill,Lap bar,NA,1985,65.616,37.28226,1719.1392,0
Matterhorn Blitz,Europa Park,Germany,43.1,Operating,Mack,Steel,Vertical lift,Lap bar,Wild Mouse,1999,52.4928,34.796776,1256.5464,0
Milky Way (Blue),Greenland,Japan,43,Operating,Togo,Steel,Chain lift hill,Shoulder harness,NA,1991,124.6704,NA,2624.64,0
Typhoon,Bobbejaanland,Belgium,42.9,Operating,Gerstlauer,Steel,Chain lift hill,Shoulder harness,Euro-Fighter,2004,85.3008,49.70968,2198.136,4
Ninja,Six Flags Magic Mountain,United States,42.8,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,NA,1988,59.0544,54.680648,2706.66,0
Wave Breaker: The Rescue Coaster,SeaWorld San Antonio,United States,42.7,Operating,Intamin,NA,Tire propelled launch,None,NA,2017,62.3352,44.117341,2598.3936,0
Green Lantern,Six Flags Great Adventure,United States,42.5,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2011,154.1976,63.379842,4156.7736,5
Le Serpent,Parc du Petit Prince,France,42.3,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,Family,NA,NA,NA,NA,0
Hoosier Hurricane,Indiana Beach,United States,41.6,Operating,CCI,Wooden,Chain lift hill,Lap bar,NA,1994,78.7392,50.952422,2890.3848,0
Insider,Wiener Prater,Austria,41.5,Operating,Maurer,Steel,NA,Lap bar,"Wild Mouse, Indoor",2013,36.0888,21.747985,984.24,0
Calamity Mine,Walibi Belgium,Belgium,41.5,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Mine Train,1992,45.9312,29.825808,2575.428,0
Grand National (Right),Blackpool Pleasure Beach,United Kingdom,41.5,Operating,Unknown,Wooden,Chain lift hill,Unknown,Twister,NA,NA,NA,NA,0
Vogel Rok,Efteling,Netherlands,41.5,Operating,Vekoma,Steel,Chain lift hill,Lap bar,"Family, Indoor",1998,82.02,40.389115,3936.96,0
Boomerang,Parc des Combes,France,41.4,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,"Shuttle, Boomerang, Family",2011,65.616,37.28226,606.948,0
Schweizer Bobbahn,Heide Park,Germany,41.4,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,1994,88.5816,32.932663,3247.992,0
Fiorano GT Challenge (Right),Ferrari World,United Arab Emirates,41.3,Operating,Maurer,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2010,NA,NA,3280.8,0
Boomerang,Energylandia,Poland,41.3,Operating,Vekoma,Steel,Chain lift hill,Lap bar,"Shuttle, Boomerang, Family",2017,75.4584,37.28226,682.4064,0
Ben 10 Ultimate Mission,Drayton Manor,United Kingdom,41.1,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Shuttle,2011,65.616,34.175405,590.544,0
Tornado,Parque de Atracciones de Madrid,Spain,41,Operating,Intamin,Steel,Chain lift hill,Shoulder harness,NA,1999,98.424,49.70968,2624.64,3
Underground,Adventureland,United States,40.9,Operating,CCI,Steel,Chain lift hill,Lap bar,NA,1996,NA,NA,984.24,0
Mount Mara,Bobbejaanland,Belgium,40.9,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Indoor,1989,85.3008,31.06855,2362.176,0
Patriot,California's Great America ,United States,40.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1991,91.8624,39.767744,1919.268,2
Steel Dragon,Waldameer,United States,40.7,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2004,52.4928,37.28226,1391.0592,0
Grand National (Left),Blackpool Pleasure Beach,United Kingdom,40.6,Operating,Charles Paige,Steel,Chain lift hill,Lap bar,NA,1935,62.3352,39.767744,3300.4848,0
Big One,Blackpool Pleasure Beach,United Kingdom,40.3,Operating,Arrow,Steel,Chain lift hill,Lap bar,Hyper,1994,213.252,74.56452,5495.34,0
Vild-Svinet,Bonbon-Land,Denmark,40.1,Operating,Gerstlauer,Steel,Cable lift hill,Lap bar,Euro-Fighter,2003,72.1776,44.738712,1404.1824,1
Supersplash,TusenFryd,Norway,40.1,Operating,Mack,SuperSplash,NA,Lap bar,NA,2003,95.1432,47.224196,1099.068,0
Looping Star,Nagashima Spa Land,Japan,40.1,Operating,Schwarzkopf,Steel,Cable lift hill,Lap bar,Looping Star,1982,82.02,47.845567,1942.2336,1
Colossus,Six Flags Magic Mountain,United States,40,Retracked,International Amusement Devices,Wooden,Chain lift hill,Lap bar,Out & Back,1978,124.6704,62.1371,4324.0944,0
Nickelodeon Streak,Blackpool Pleasure Beach,United Kingdom,39.9,Operating,Charles Paige,Wooden,Chain lift hill,None,Out & Back,1933,62.3352,37.28226,2296.56,0
Thunderation,Silver Dollar City,United States,39.8,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1993,82.02,47.845567,3021.6168,0
Pandemonium,Six Flags New England,United States,39.7,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2005,55.7736,31.06855,1345.128,0
Alpenexpress,Europa Park,Germany,39.6,Operating,Mack,Steel,NA,Lap bar,E-Powered,1984,19.6848,27.961695,866.1312,0
Tiger Express,La Mer de Sable,France,39.5,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2011,45.9312,27.961695,1213.896,0
Kumali,Flamingo Land Theme Park and Zoo,United Kingdom,39.5,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,NA,2006,124.6704,54.680648,2201.4168,4
Feuerdrache,Legoland Deutschland,Germany,39.5,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,NA,2002,52.4928,37.28226,2821.488,0
Exterminator,Kennywood,United States,39.4,Operating,Reverchon,Steel,Chain lift hill,Lap bar,NA,1999,42.6504,29.204437,1377.936,0
Super Railway,Foire,N/A,39.2,Operating,Schwarzkopf,Steel,Chain lift hill,None,NA,NA,NA,NA,NA,0
Thunderbolt,Kennywood,United States,39.2,Operating,ACE Coaster Classic,Steel,Chain lift hill,Lap bar,NA,1924,95.1432,55.302019,2887.104,0
Fire In The Hole,Silver Dollar City,United States,39.1,Operating,Unknown,Steel,NA,Lap bar,NA,1972,NA,NA,NA,0
Tranan,Skara Sommarland,Sweden,39.1,Operating,S&S,Steel,Chain lift hill,None,Eagle,2009,65.616,24.85484,1640.4,0
Atlantica SuperSplash,Europa Park,Germany,39,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,2005,98.424,49.70968,1279.512,0
Euro Mir,Europa Park,Germany,38.6,Operating,Mack,Steel,Spiral lift,Lap bar,NA,1997,91.8624,49.70968,3215.184,0
Eurosat,Europa Park,Germany,38.5,Retracked,Mack,Steel,Spiral lift,Lap bar,Family,NA,85.3008,37.28226,2877.2616,0
Pegasus,Mt. Olympus Water & Theme Park,United States,38.4,Operating,CCI,Steel,NA,Unknown,NA,1996,59.0544,NA,NA,0
Falcon,Duinrell,Netherlands,38.4,Operating,Gerstlauer,Steel,NA,Shoulder harness,Euro-Fighter,2009,72.1776,NA,1049.856,2
Dark Knight,Six Flags Great America,United States,38.4,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2008,NA,NA,1213.896,0
Boomerang,Wiener Prater,Austria,38.1,Operating,Vekoma,Steel,Chain lift hill,Lap bar,"Shuttle, Boomerang",1992,118.1088,47.224196,935.028,3
Achterbahn,Skyline Park,Germany,38.1,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,Family,NA,49.212,31.06855,1837.248,0
Laff Trakk,Hersheypark,United States,37.9,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2015,NA,40.389115,1400.9016,0
West Coaster,Pacific Park,United States,37.9,Operating,Morgan,Steel,Chain lift hill,Lap bar,NA,1996,55.7736,34.796776,1299.1968,0
Mammut,Gardaland,Italy,37.7,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Mine Train,2008,45.9312,31.06855,3379.224,0
Stampida (Blue),Port Aventura,Spain,37.6,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,1997,85.3008,45.981454,3126.6024,0
Shockwave,Drayton Manor,United Kingdom,37.6,Operating,Intamin,Steel,Chain lift hill,Shoulder harness,NA,1994,118.1088,49.70968,1640.4,4
Wild One,Six Flags America,United States,37.6,Operating,John Miller,Steel,Chain lift hill,Lap bar,NA,1990,98.424,52.816535,3999.2952,0
Stampida (Red),Port Aventura,Spain,37.2,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,1997,85.3008,44.738712,3100.356,0
Thunderhawk,Dorney Park,United States,37.2,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1923,78.7392,39.767744,2772.276,0
Woodstock Express,Kings Dominion,United States,37.1,Operating,Philadelphia Toboggan Coaster,Steel,Chain lift hill,Lap bar,NA,1974,36.0888,34.796776,1384.4976,0
Wonder Mountain's Guardian,Canada's Wonderland,Canada,37,Operating,ART Engineering GmbH,Steel,Chain lift hill,Lap bar,Free Fall,NA,59.0544,NA,1000.644,0
Invertigo,Kings Island,United States,36.8,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,"Shuttle, Boomerang",NA,160.7592,50.331051,1013.7672,3
Blazing Fury,Dollywood,United States,36.6,Operating,Unknown,Steel,NA,Lap bar,NA,1978,NA,NA,NA,0
Halvar,Plopsa Coo,Belgium,36.6,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Terrain,NA,NA,NA,1870.056,0
Cyclone,Luna Park,United States,36.2,Operating,Unknown,Wooden,Chain lift hill,Lap bar,Twister,1927,85.3008,60.272987,2851.0152,0
Colossus,Thorpe Park,United Kingdom,36.2,Operating,Intamin,Steel,Chain lift hill,Shoulder harness,Looper,2002,98.424,44.738712,2788.68,10
Naga Bay,Bobbejaanland,Belgium,36,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2011,55.7736,34.175405,1410.744,0
Alpine Coaster,Parc des Combes,France,35.9,Operating,Wiegand,Steel,Cable lift hill,Seatbelt,NA,2007,NA,NA,1427.148,0
SuperSplash,Plopsaland,Belgium,35.9,Operating,Mack,Steel,Vertical lift,Lap bar,NA,2006,78.7392,42.253228,984.24,0
Cobra,La Ronde,Canada,35.7,Definitely closed,Intamin,Steel,Chain lift hill,Shoulder harness,NA,1995,85.3008,47.845567,2575.428,1
Adventure Express,Kings Island,United States,35.7,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1991,62.3352,34.796776,2962.5624,0
EqWalizer,Walibi Rhône Alpes,France,35.5,Operating,Vekoma,Steel,Cable lift hill,Lap bar,"Shuttle, Boomerang",1988,118.1088,47.224196,935.028,3
Dark Knight,Six Flags Great Adventure,United States,35.5,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2008,NA,NA,1213.896,0
Avalanche,Kings Dominion,United States,35.4,Operating,Mack,Steel,NA,Lap bar,NA,1988,NA,NA,NA,0
Vonkaputous,Linnanmäki,Finland,35.1,Definitely closed,Premier Rides,Steel,Chain lift hill,Lap bar,NA,2001,78.7392,37.28226,1082.664,0
Mumbo Jumbo,Flamingo Land Theme Park and Zoo,United Kingdom,34.9,Operating,S&S,Steel,Chain lift hill,Shoulder harness,El Loco,2009,98.424,NA,NA,2
Judge Roy Scream,Six flags Over Texas,United States,34.6,Operating,William J. Cobb,Steel,Chain lift hill,Lap bar,NA,1980,72.1776,52.816535,2673.852,0
Wildcat,Hersheypark,United States,34.5,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,1996,88.5816,50.331051,3182.376,0
Aktium,CineCittà World,Italy,34.5,Operating,Mack,NA,NA,None,NA,NA,NA,NA,NA,0
La Vibora,Six flags Over Texas,United States,34.4,Operating,Intamin,Steel,Chain lift hill,Lap bar,NA,1986,59.0544,31.689921,1489.4832,0
Woodstock Express,Carowinds,United States,34.1,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1975,NA,NA,1354.9704,0
Spatiale Experience,Nigloland,France,34,Operating,Mack,Steel,Spiral lift,Lap bar,Indoor,1998,59.0544,37.28226,2624.64,0
Devil's Mine,Fort Fun Abenteuerland,Germany,33.5,Operating,Vekoma,Steel,Chain lift hill,Lap bar,NA,1996,65.616,NA,1345.128,0
Grizzly,Kings Dominion,United States,33.4,Operating,Unknown,Wooden,Chain lift hill,Lap bar,Twister,1982,88.5816,NA,3149.568,0
RC Racer,Walt Disney Studios,France,33.1,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Half Pipe,2010,82.02,NA,269.0256,0
Robin Hood,Walibi Holland,Netherlands,32.9,Definitely closed,Vekoma,Wooden,Chain lift hill,Lap bar,Out & Back,2000,104.9856,49.70968,3280.8,0
Journey To Atlantis,SeaWorld San Antonio,United States,32.7,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,2007,98.424,49.70968,NA,0
Jimmy Neutron's Atomic Flyer,Movie Park Germany,Germany,32.5,Operating,Vekoma,Steel,Chain lift hill,Lap bar,NA,2007,42.6504,NA,964.5552,0
Racer 75 (Right Side),Kings Dominion,United States,32.3,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,NA,1975,85.3008,55.92339,3369.3816,0
Steeplechase,Luna Park,United States,32.3,Operating,Zamperla,Steel,NA,Unknown,NA,2011,65.616,39.767744,1194.2112,0
Roller Soaker,Hersheypark,United States,32.2,Definitely closed,SetPoint,Steel,Cable lift hill,Lap bar,NA,2002,68.8968,20.505243,1299.1968,0
Huracan,Belantis,Germany,32.1,Operating,Gerstlauer,Steel,Chain lift hill,Shoulder harness,Euro-Fighter,2010,104.9856,52.816535,1837.248,5
Speed of Sound,Walibi Holland,Netherlands,32,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,"Shuttle, Boomerang",2000,114.828,46.602825,935.028,3
Bat Coaster,Nigloland,France,32,Relocated,Pinfari,Steel,Chain lift hill,Shoulder harness,NA,2002,65.616,43.49597,1312.32,2
Runaway Mine Train,Alton Towers,United Kingdom,31.8,Operating,Mack,Steel,NA,Shoulder harness,E-Powered,1992,19.6848,22.369356,1000.644,0
Velocity,Flamingo Land Theme Park and Zoo,United Kingdom,31.6,Operating,Vekoma,Steel,Hydraulic cable launch,Lap bar,NA,2005,55.7736,52.195164,2109.5544,0
Gletscherblitz,Steinwasen Park,Germany,31.4,Operating,Mack,E-Powered,NA,Common lap bar,NA,1998,NA,27.961695,NA,0
Pony Express,Knott's Berry Farm,United States,31.4,Operating,Zamperla,Steel,NA,Unknown,NA,2008,42.6504,37.28226,1312.32,0
Super 8er Bahn,Wiener Prater,Austria,31.2,Operating,Pinfari,Steel,Chain lift hill,Lap bar,NA,1997,68.8968,NA,2559.024,0
Coastersaurus,Legoland Florida,United States,30.9,Operating,Martin & Vleminckx,Steel,Chain lift hill,Lap bar,NA,2004,39.3696,32.311292,1364.8128,0
Gaz Express,Bagatelle,France,30.9,Operating,Soquet,Steel,Chain lift hill,Lap bar,"Mine Train, Family",1987,39.3696,37.28226,1312.32,0
Hochschaubahn,Wiener Prater,Austria,30.8,Operating,Unknown,Wooden,Chain lift hill,None,Family,1950,49.212,34.175405,1476.36,0
Comet,Waldameer,United States,30.8,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1951,36.0888,24.85484,1299.1968,0
Georgia Cyclone,Six Flags Over Georgia,United States,30.8,Retracked,Dinn Corp.,Wooden,Chain lift hill,Lap bar,Twister,1990,95.1432,50.331051,2969.124,0
Iron Dragon,Cedar Point,United States,30.8,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,NA,1987,75.4584,39.767744,2821.488,0
Schweizer Bobbahn,Europa Park,Germany,30.6,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,1985,62.3352,31.06855,1597.7496,0
Odin Ekspressen,Tivoli Gardens,Denmark,30.3,Operating,Mack,Steel,Electrical lift hill,Lap bar,E-Powered,1985,NA,37.28226,984.24,0
Psycho Mouse,California's Great America ,United States,30,Operating,Arrow,Steel,Chain lift hill,Lap bar,Wild Mouse,2001,NA,NA,1256.5464,0
Linnunrata,Linnanmäki,Finland,29.9,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,NA,2000,22.9656,24.85484,1181.088,0
Le Grand canyon,Fraispertuis City,France,29.6,Operating,Soquet,Steel,Chain lift hill,Common lap bar,Family,NA,39.3696,31.06855,1246.704,0
Train de Mine,Parc du Bocasse,France,29.4,Operating,Soquet,Steel,Chain lift hill,Lap bar,NA,2004,NA,NA,NA,0
Le Train de la Mine d'Or,Nigloland,France,29.3,Operating,Mack,Steel,Electrical lift hill,Lap bar,E-Powered,1992,26.2464,22.369356,NA,0
Apocalypse,Six Flags America,United States,29.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2012,101.7048,55.302019,2900.2272,2
Spinner,Skara Sommarland,Sweden,29.1,Operating,Maurer,NA,NA,Lap bar,NA,2011,36.0888,22.369356,984.24,0
Dawson Duel (Right),Bellewaerde,Belgium,29.1,Operating,Wiegand,NA,Cable lift hill,None,NA,2017,82.02,24.85484,1607.592,0
Roar,Six Flags America,United States,29,Operating,GCI,Steel,Chain lift hill,Lap bar,NA,1998,88.5816,50.331051,3198.78,0
Dawson Duel (Left),Bellewaerde,Belgium,29,Operating,Wiegand,Family,NA,None,NA,2017,82.02,24.85484,1607.592,0
Rasender Roland,Hansa Park,Germany,28.8,Operating,Vekoma,Steel,Chain lift hill,Lap bar,NA,1993,52.4928,31.06855,1712.5776,0
Great American Scream Machine,Six Flags Over Georgia,United States,28.2,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,NA,1973,104.9856,57.166132,3451.4016,0
Jaguar!,Knott's Berry Farm,United States,28.2,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,Family,1995,65.616,34.796776,2601.6744,0
