name,park,country,score,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length
Back Lot Stunt Coaster,Canada's Wonderland,Canada,51.3,Operating,Premier Rides,Steel,Lap bar,2005,Magnetic Launch (LIM/LSM),Family,45.9312,0,39.767744,1958.6376
Back Lot Stunt Coaster,Kings Dominion,United States,51.2,Operating,Premier Rides,Steel,Lap bar,2006,Magnetic Launch (LIM/LSM),NA,45.9312,0,39.767744,1958.6376
InvadR,Busch Gardens Williamsburg,United States,51.1,Operating,GCI,Hybrid,Lap bar,2017,NA,Twister,75.4584,0,47.845567,NA
The Raven,Holiday World,United States,51.1,Operating,CCI,Wooden,Lap bar,1995,Chain lift hill,Twister,108.2664,0,47.845567,2729.6256
Raging Spirits,Tokyo DisneySea,Japan,51,Operating,Intamin,Steel,Shoulder harness,2005,Chain lift hill,Looper,52.4928,1,37.28226,1968.48
Pandemonium,Six Flags Fiesta Texas,United States,51,Operating,Gerstlauer,Steel,Lap bar,2007,Chain lift hill,Spinning Twister,52.4928,0,31.06855,1351.6896
Dare Devil Dive,Six Flags Over Georgia,United States,50.9,Operating,Gerstlauer,Steel,Lap bar,2011,Chain lift hill,Euro-Fighter,95.1432,3,52.195164,2099.712
"Correcaminos Bip, Bip",Parque Warner Madrid,Spain,50.8,Operating,Mack,Steel,Lap bar,2009,Booster wheel lift hill,YoungStar,52.4928,0,37.28226,1574.784
Tonnerre de Zeus,Parc Asterix,France,50.8,Operating,CCI,Wooden,Lap bar,1997,Chain lift hill,Twister,98.424,0,52.195164,4045.2264
Flight of Fear,Kings Island,United States,50.8,Operating,Premier Rides,Steel,Lap bar,1996,Magnetic Launch (LIM/LSM),Launched Multielement,75.4584,4,54.059277,2706.66
Mamba,Worlds of Fun,United States,50.5,Operating,Morgan,Steel,Lap bar,1998,Chain lift hill,Hyper,206.6904,0,74.56452,5577.36
Vampire,Chessington World of Adventures,United Kingdom,50.4,Operating,Arrow,Steel,Shoulder harness,1990,Chain lift hill,NA,55.7736,0,45.981454,2349.0528
Undertow,Santa Cruz Beach Boardwalk,United States,50.4,Operating,Maurer,Steel,Lap bar,2013,Chain lift hill,NA,49.212,0,39.767744,1410.744
Blue Streak,Cedar Point,United States,50.2,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1964,Chain lift hill,Out & Back,78.7392,0,39.767744,2559.024
Spinball Whizzer,Alton Towers,United Kingdom,50.2,Operating,Maurer,Steel,Lap bar,2004,Chain lift hill,NA,55.7736,0,37.28226,1476.36
Speed Rockets,Jardin d'Acclimatation,France,50.2,Operating,Gerstlauer,"Bobsled, Family",Lap bar,2018,Chain lift hill,NA,36.0888,0,NA,1312.32
Skatteøen,Djurs Sommerland,Denmark,49.9,Operating,Mack,Steel,Lap bar,2011,Chain lift hill,NA,91.8624,0,43.49597,1492.764
Heiße Fahrt,Klotten (Wild- und Freizeitpark),Germany,49.8,Operating,Gerstlauer,Steel,Unknown,2004,Chain lift hill,Bobsled,55.7736,0,34.175405,1745.3856
Kvasten,Gröna Lund,Sweden,49.7,Operating,Vekoma,Steel,Lap bar,NA,Booster wheel lift hill,Family,65.616,0,34.175405,1312.32
Sooperdooperlooper,Hersheypark,United States,49.7,Operating,Schwarzkopf,Steel,Lap bar,1977,Chain lift hill,Looper,NA,1,NA,NA
Speed,Energylandia,Poland,49.6,Operating,Intamin,Steel,None,2018,Vertical lift,NA,164.04,0,68.35081,NA
Pandemonium,Six Flags St Louis,United States,49.5,Operating,Gerstlauer,Steel,Lap bar,2007,Chain lift hill,NA,52.4928,0,31.06855,1351.6896
Jack Rabbit,Kennywood,United States,49.2,Operating,ACE Coaster Classic,Steel,Lap bar,1921,Chain lift hill,NA,68.8968,0,44.738712,2132.52
Scorpion,Busch Gardens Tampa,United States,49.1,Operating,Schwarzkopf,Steel,Lap bar,1981,Chain lift hill,Looper,65.616,1,49.70968,1811.0016
Pegasus,Europa Park,Germany,49.1,Operating,Mack,Steel,Lap bar,2006,Booster wheel lift hill,Twister,49.212,0,40.389115,1312.32
Xpress : Platform 13,Walibi Holland,Netherlands,48.9,Operating,Vekoma,Steel,Shoulder harness,2e3,Magnetic Launch (LIM/LSM),NA,85.3008,3,55.92339,3267.6768
Diabolik,Movieland Park,Italy,48.7,Operating,Vekoma,Steel,Shoulder harness,NA,Chain lift hill,Invertigo,131.232,3,49.70968,1017.048
Loup Garou,Walibi Belgium,Belgium,48.7,Operating,Vekoma,Wooden,Lap bar,2001,Chain lift hill,Twister,91.8624,0,49.70968,3395.628
Comet,Great Escape,United States,48.6,Operating,Philadelphia Toboggan Coaster,Steel,Lap bar,1994,Chain lift hill,NA,95.1432,0,55.302019,4196.1432
Revolution,Blackpool Pleasure Beach,United Kingdom,48.3,Operating,Arrow,Steel,Shoulder harness,1979,NA,Shuttle,55.7736,1,44.738712,633.1944
Gao,Greenland,Japan,48.3,Operating,Meisho Amusement Machines,NA,Common lap bar,1998,Chain lift hill,NA,131.232,0,60.894358,5459.2512
Matterhorn Bobsleds (B),Disneyland,United States,48.3,Operating,Arrow,Steel,Unknown,1959,Chain lift hill,Bobsled,78.7392,0,26.718953,2132.52
Regina,Tobu Zoo Park,Japan,48.3,Operating,Intamin,Steel,Lap bar,2e3,Chain lift hill,NA,121.3896,0,55.92339,4376.5872
Poltergeist,Six Flags Fiesta Texas,United States,48.3,Operating,Premier Rides,Steel,Shoulder harness,1999,Magnetic Launch (LIM/LSM),Launched Multielement,78.7392,4,60.272987,2706.66
Steel Hawg,Indiana Beach,United States,48,Operating,S&S,Steel,Unknown,2008,Chain lift hill,NA,95.1432,3,40.389115,NA
Fuga da Atlantide,Gardaland,Italy,47.8,Operating,Intamin,Steel,None,2003,Cable lift hill,NA,55.7736,0,37.28226,2296.56
Poseïdon,Europa Park,Germany,47.8,Operating,Mack,Steel,Lap bar,NA,Chain lift hill,Family,75.4584,0,43.49597,2742.7488
Divertical,Mirabilandia,Italy,47.7,Operating,Intamin,Steel,Lap bar,2012,Vertical lift,NA,164.04,0,68.35081,NA
Rutschebanen,Bakken,Denmark,47.7,Operating,ACE Coaster Classic,Steel,Lap bar,1932,Cable lift hill,NA,72.1776,0,46.602825,3238.1496
Thor's Hammer,Djurs Sommerland,Denmark,47.7,Operating,Gerstlauer,Steel,Unknown,2002,NA,Bobsled,NA,0,NA,NA
Booster Bike,Toverland,Netherlands,47.4,Operating,Vekoma,Steel,Lap bar,2004,Magnetic Launch (LIM/LSM),Motorbike,49.212,0,46.602825,1968.48
Racer,Kings Island,United States,47.4,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1972,Chain lift hill,NA,88.5816,0,60.894358,3412.032
Freedom Flyer,Fun Spot America,United States,47.3,Operating,Vekoma,Steel,Lap bar,NA,Booster wheel lift hill,Family,65.616,0,34.175405,1295.916
Avalanche,Blackpool Pleasure Beach,United Kingdom,47.3,Operating,Mack,Steel,Lap bar,1988,Chain lift hill,NA,65.616,0,31.06855,1492.764
Gemini (Red),Cedar Point,United States,47.3,Operating,Arrow,Hybrid,Lap bar,1978,Chain lift hill,NA,124.6704,0,59.651616,3936.96
Whizzer,Six Flags Great America,United States,47.2,Operating,Schwarzkopf,Steel,None,1976,Electrical lift hill,Speed Racer / Extended Jumbo Jet,68.8968,0,42.253228,3100.356
Hankatten,Bonbon-Land,Denmark,46.5,Operating,Gerstlauer,Steel,Lap bar,2007,Chain lift hill,NA,52.4928,0,34.175405,1302.4776
Stinger,Dorney Park,United States,46.3,Definitely closed,Vekoma,Steel,Shoulder harness,2012,Chain lift hill,"Shuttle, Invertigo",131.232,3,49.70968,1017.048
Cobra,PowerPark,Finland,46.2,Operating,Vekoma,Steel,Shoulder harness,2005,Cable lift hill,Shuttle,118.1088,3,47.224196,935.028
Spinning Dragons,Worlds of Fun,United States,46.2,Operating,Gerstlauer,Steel,Lap bar,2004,Chain lift hill,Spinning,55.7736,0,31.06855,1345.128
Thunderbolt,Six Flags New England,United States,46,Operating,"Drambour, Joseph",Wooden,Lap bar,1941,Chain lift hill,Twister,68.8968,0,NA,2864.1384
Fiorano GT Challenge (Left),Ferrari World,United Arab Emirates,45.8,Operating,Maurer,Steel,Lap bar,2010,Magnetic Launch (LIM/LSM),NA,NA,0,NA,3280.8
Huracan,Bellewaerde,Belgium,45.8,Operating,Zierer,Steel,Lap bar,2013,Booster wheel lift hill,NA,49.212,0,31.06855,1640.4
Sky Rocket,Kennywood,United States,45.7,Operating,Premier Rides,Steel,Lap bar,2010,Magnetic Launch (LIM/LSM),Launched,95.1432,3,49.70968,2099.712
Wild Train,Parc Saint Paul,France,45.7,Operating,Pax,Steel,Lap bar,2e3,Booster wheel lift hill,NA,49.212,0,43.49597,1082.664
Zeus,Mt. Olympus Water & Theme Park,United States,45.6,Operating,CCI,Wooden,Lap bar,1997,Chain lift hill,Twister,88.5816,0,60.272987,2900.2272
Vortex,Canada's Wonderland,Canada,45.4,Operating,Arrow,Steel,Shoulder harness,1991,Chain lift hill,NA,91.8624,0,55.302019,2559.024
Racer 75 (Left Side),Kings Dominion,United States,44.8,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1975,Chain lift hill,NA,85.3008,0,55.92339,3369.3816
Cobra's Curse,Busch Gardens Tampa,United States,44.7,Operating,Mack,Steel,Lap bar,2016,Vertical lift,NA,68.8968,0,40.389115,2099.712
New Revolution,Six Flags Magic Mountain,United States,44.5,Operating,Schwarzkopf,Steel,Lap bar,1976,NA,Looper,111.5472,1,55.302019,3457.9632
Racer,Kennywood,United States,44.3,Operating,John Miller,Steel,Lap bar,1927,Chain lift hill,NA,72.1776,0,NA,2250.6288
Big Dipper,Blackpool Pleasure Beach,United Kingdom,44.2,Operating,William Strickler,Wooden,Lap bar,1923,Chain lift hill,NA,59.0544,0,NA,3300.4848
Screamin' Eagle,Six Flags St Louis,United States,43.6,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1976,Chain lift hill,Twister,111.5472,0,62.1371,3871.344
La Trace du Hourra,Parc Asterix,France,43.6,Operating,Mack,Steel,Lap bar,2001,Chain lift hill,NA,101.7048,0,37.28226,2952.72
Bobbaan,Efteling,Netherlands,43.6,Operating,Giovanola,Steel,Lap bar,1985,Chain lift hill,NA,65.616,0,37.28226,1719.1392
Matterhorn Blitz,Europa Park,Germany,43.1,Operating,Mack,Steel,Lap bar,1999,Vertical lift,Wild Mouse,52.4928,0,34.796776,1256.5464
Milky Way (Blue),Greenland,Japan,43,Operating,Togo,Steel,Shoulder harness,1991,Chain lift hill,NA,124.6704,0,NA,2624.64
Typhoon,Bobbejaanland,Belgium,42.9,Operating,Gerstlauer,Steel,Shoulder harness,2004,Chain lift hill,Euro-Fighter,85.3008,4,49.70968,2198.136
Ninja,Six Flags Magic Mountain,United States,42.8,Operating,Arrow,Steel,Shoulder harness,1988,Chain lift hill,NA,59.0544,0,54.680648,2706.66
Wave Breaker: The Rescue Coaster,SeaWorld San Antonio,United States,42.7,Operating,Intamin,NA,None,2017,Tire propelled launch,NA,62.3352,0,44.117341,2598.3936
Green Lantern,Six Flags Great Adventure,United States,42.5,Operating,B&M,Steel,Shoulder harness,2011,Chain lift hill,NA,154.1976,5,63.379842,4156.7736
Le Serpent,Parc du Petit Prince,France,42.3,Operating,Zierer,Steel,Lap bar,NA,Booster wheel lift hill,Family,NA,0,NA,NA
Hoosier Hurricane,Indiana Beach,United States,41.6,Operating,CCI,Wooden,Lap bar,1994,Chain lift hill,NA,78.7392,0,50.952422,2890.3848
Insider,Wiener Prater,Austria,41.5,Operating,Maurer,Steel,Lap bar,2013,NA,"Wild Mouse, Indoor",36.0888,0,21.747985,984.24
Calamity Mine,Walibi Belgium,Belgium,41.5,Operating,Vekoma,Steel,Lap bar,1992,Chain lift hill,Mine Train,45.9312,0,29.825808,2575.428
Grand National (Right),Blackpool Pleasure Beach,United Kingdom,41.5,Operating,Unknown,Wooden,Unknown,NA,Chain lift hill,Twister,NA,0,NA,NA
Vogel Rok,Efteling,Netherlands,41.5,Operating,Vekoma,Steel,Lap bar,1998,Chain lift hill,Enclosed Freeform,82.02,0,40.389115,3936.96
Boomerang,Parc des Combes,France,41.4,Operating,Vekoma,Steel,Lap bar,2011,Booster wheel lift hill,"Shuttle, Boomerang, Family",65.616,0,37.28226,606.948
Schweizer Bobbahn,Heide Park,Germany,41.4,Operating,Mack,Steel,Lap bar,1994,Chain lift hill,NA,88.5816,0,32.932663,3247.992
Fiorano GT Challenge (Right),Ferrari World,United Arab Emirates,41.3,Operating,Maurer,Steel,Lap bar,2010,Magnetic Launch (LIM/LSM),NA,NA,0,NA,3280.8
Boomerang,Energylandia,Poland,41.3,Operating,Vekoma,Steel,Lap bar,2017,Chain lift hill,"Shuttle, Boomerang, Family",75.4584,0,37.28226,682.4064
Ben 10 Ultimate Mission,Drayton Manor,United Kingdom,41.1,Operating,Vekoma,Steel,Lap bar,2011,Booster wheel lift hill,Shuttle,65.616,0,34.175405,590.544
Tornado,Parque de Atracciones de Madrid,Spain,41,Operating,Intamin,Steel,Shoulder harness,1999,Chain lift hill,NA,98.424,3,49.70968,2624.64
Underground,Adventureland,United States,40.9,Operating,CCI,Steel,Lap bar,1996,Chain lift hill,NA,NA,0,NA,984.24
Mount Mara,Bobbejaanland,Belgium,40.9,Operating,Vekoma,Steel,Lap bar,1989,Booster wheel lift hill,Indoor,85.3008,0,31.06855,2362.176
Patriot,California's Great America,United States,40.9,Operating,B&M,Steel,Shoulder harness,1991,Chain lift hill,NA,91.8624,2,39.767744,1919.268
Steel Dragon,Waldameer,United States,40.7,Operating,Maurer,Steel,Lap bar,2004,Chain lift hill,NA,52.4928,0,37.28226,1391.0592
Grand National (Left),Blackpool Pleasure Beach,United Kingdom,40.6,Operating,Charles Paige,Steel,Lap bar,1935,Chain lift hill,NA,62.3352,0,39.767744,3300.4848
Big One,Blackpool Pleasure Beach,United Kingdom,40.3,Operating,Arrow,Steel,Lap bar,1994,Chain lift hill,Hyper,213.252,0,74.56452,5495.34
Vild-Svinet,Bonbon-Land,Denmark,40.1,Operating,Gerstlauer,Steel,Lap bar,2003,Cable lift hill,Euro-Fighter,72.1776,1,44.738712,1404.1824
Supersplash,TusenFryd,Norway,40.1,Operating,Mack,SuperSplash,Lap bar,2003,NA,NA,95.1432,0,47.224196,1099.068
Looping Star,Nagashima Spa Land,Japan,40.1,Operating,Schwarzkopf,Steel,Lap bar,1982,Cable lift hill,Looping,82.02,1,47.845567,1942.2336
Colossus,Six Flags Magic Mountain,United States,40,Retracked,International Amusement Devices,Wooden,Lap bar,1978,Chain lift hill,Out & Back,124.6704,0,62.1371,4324.0944
Nickelodeon Streak,Blackpool Pleasure Beach,United Kingdom,39.9,Operating,Charles Paige,Wooden,None,1933,Chain lift hill,Out & Back,62.3352,0,37.28226,2296.56
Thunderation,Silver Dollar City,United States,39.8,Operating,Arrow,Steel,Lap bar,1993,Chain lift hill,Mine Train,82.02,0,47.845567,3021.6168
Pandemonium,Six Flags New England,United States,39.7,Operating,Gerstlauer,Steel,Lap bar,2005,Chain lift hill,"Spinning Cars, Twister",55.7736,0,31.06855,1345.128
Alpenexpress,Europa Park,Germany,39.6,Operating,Mack,Steel,Lap bar,1984,NA,E-Powered,19.6848,0,27.961695,866.1312
Tiger Express,La Mer de Sable,France,39.5,Operating,Mack,Steel,Lap bar,2011,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896
Kumali,Flamingo Land Theme Park and Zoo,United Kingdom,39.5,Operating,Vekoma,Steel,Shoulder harness,2006,Chain lift hill,NA,124.6704,4,54.680648,2201.4168
Feuerdrache,Legoland Deutschland,Germany,39.5,Operating,Zierer,Steel,Lap bar,2002,Booster wheel lift hill,NA,52.4928,0,37.28226,2821.488
Exterminator,Kennywood,United States,39.4,Operating,Reverchon,Steel,Lap bar,1999,Chain lift hill,Spinning Wild Mouse,42.6504,0,29.204437,1377.936
Super Railway,Foire,N/A,39.2,Operating,Schwarzkopf,Steel,None,NA,Chain lift hill,NA,NA,0,NA,NA
Thunderbolt,Kennywood,United States,39.2,Operating,ACE Coaster Classic,Steel,Lap bar,1924,Chain lift hill,NA,95.1432,0,55.302019,2887.104
Fire In The Hole,Silver Dollar City,United States,39.1,Operating,Unknown,Steel,Lap bar,1972,NA,NA,NA,0,NA,NA
Tranan,Skara Sommarland,Sweden,39.1,Operating,S&S,Steel,None,2009,Chain lift hill,Eagle,65.616,0,24.85484,1640.4
Atlantica SuperSplash,Europa Park,Germany,39,Operating,Mack,Steel,Lap bar,2005,Chain lift hill,Water Coaster,98.424,0,49.70968,1279.512
Euro Mir,Europa Park,Germany,38.6,Operating,Mack,Steel,Lap bar,1997,Spiral lift,Spinning,91.8624,0,49.70968,3215.184
Eurosat,Europa Park,Germany,38.5,Retracked,Mack,Steel,Lap bar,NA,Spiral lift,Family,85.3008,0,37.28226,2877.2616
Pegasus,Mt. Olympus Water & Theme Park,United States,38.4,Operating,CCI,Steel,Unknown,1996,NA,NA,59.0544,0,NA,NA
Falcon,Duinrell,Netherlands,38.4,Operating,Gerstlauer,Steel,Shoulder harness,2009,NA,Euro-Fighter,72.1776,2,NA,1049.856
Dark Knight,Six Flags Great America,United States,38.4,Operating,Mack,Steel,Lap bar,2008,Chain lift hill,Wild Mouse,NA,0,NA,1213.896
Boomerang,Wiener Prater,Austria,38.1,Operating,Vekoma,Steel,Lap bar,1992,Chain lift hill,"Boomerang, Multielement Shuttle",118.1088,3,47.224196,935.028
Achterbahn,Skyline Park,Germany,38.1,Operating,Schwarzkopf,Steel,Lap bar,NA,Chain lift hill,Family,49.212,0,31.06855,1837.248
Laff Trakk,Hersheypark,United States,37.9,Operating,Maurer,Steel,Lap bar,2015,Chain lift hill,NA,NA,0,40.389115,1400.9016
West Coaster,Pacific Park,United States,37.9,Operating,Morgan,Steel,Lap bar,1996,Chain lift hill,NA,55.7736,0,34.796776,1299.1968
Mammut,Gardaland,Italy,37.7,Operating,Vekoma,Steel,Lap bar,2008,Chain lift hill,Mine Train,45.9312,0,31.06855,3379.224
Stampida (Blue),Port Aventura,Spain,37.6,Operating,CCI,Wooden,Lap bar,1997,Chain lift hill,Twister,85.3008,0,45.981454,3126.6024
Shockwave,Drayton Manor,United Kingdom,37.6,Operating,Intamin,Steel,Shoulder harness,1994,Chain lift hill,NA,118.1088,4,49.70968,1640.4
Wild One,Six Flags America,United States,37.6,Operating,John Miller,Steel,Lap bar,1990,Chain lift hill,NA,98.424,0,52.816535,3999.2952
Stampida (Red),Port Aventura,Spain,37.2,Operating,CCI,Wooden,Lap bar,1997,Chain lift hill,Twister,85.3008,0,44.738712,3100.356
Thunderhawk,Dorney Park,United States,37.2,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1923,Chain lift hill,Twister,78.7392,0,39.767744,2772.276
Woodstock Express,Kings Dominion,United States,37.1,Operating,Philadelphia Toboggan Coaster,Steel,Lap bar,1974,Chain lift hill,NA,36.0888,0,34.796776,1384.4976
Wonder Mountain's Guardian,Canada's Wonderland,Canada,37,Operating,ART Engineering GmbH,Steel,Lap bar,NA,Chain lift hill,Free Fall,59.0544,0,NA,1000.644
Invertigo,Kings Island,United States,36.8,Operating,Vekoma,Steel,Shoulder harness,NA,Chain lift hill,"Shuttle, Boomerang",160.7592,3,50.331051,1013.7672
Blazing Fury,Dollywood,United States,36.6,Operating,Unknown,Steel,Lap bar,1978,NA,NA,NA,0,NA,NA
Halvar,Plopsa Coo,Belgium,36.6,Operating,Vekoma,Steel,Lap bar,NA,Chain lift hill,Terrain,NA,0,NA,1870.056
Cyclone,Luna Park,United States,36.2,Operating,Unknown,Wooden,Lap bar,1927,Chain lift hill,Twister,85.3008,0,60.272987,2851.0152
Colossus,Thorpe Park,United Kingdom,36.2,Operating,Intamin,Steel,Shoulder harness,2002,Chain lift hill,Multielement,98.424,10,44.738712,2788.68
Naga Bay,Bobbejaanland,Belgium,36,Operating,Maurer,Steel,Lap bar,2011,Chain lift hill,NA,55.7736,0,34.175405,1410.744
Alpine Coaster,Parc des Combes,France,35.9,Operating,Wiegand,Steel,Seatbelt,2007,Cable lift hill,NA,NA,0,NA,1427.148
SuperSplash,Plopsaland,Belgium,35.9,Operating,Mack,Steel,Lap bar,2006,Vertical lift,NA,78.7392,0,42.253228,984.24
Cobra,La Ronde,Canada,35.7,Definitely closed,Intamin,Steel,Shoulder harness,1995,Chain lift hill,NA,85.3008,1,47.845567,2575.428
Adventure Express,Kings Island,United States,35.7,Operating,Arrow,Steel,Lap bar,1991,Chain lift hill,Mine Train,62.3352,0,34.796776,2962.5624
EqWalizer,Walibi Rhône Alpes,France,35.5,Operating,Vekoma,Steel,Lap bar,1988,Cable lift hill,"Shuttle, Boomerang",118.1088,3,47.224196,935.028
Dark Knight,Six Flags Great Adventure,United States,35.5,Operating,Mack,Steel,Lap bar,2008,Chain lift hill,Wild Mouse,NA,0,NA,1213.896
Avalanche,Kings Dominion,United States,35.4,Operating,Mack,Steel,Lap bar,1988,NA,Bobsled,60,0,35,NA
Vonkaputous,Linnanmäki,Finland,35.1,Definitely closed,Premier Rides,Steel,Lap bar,2001,Chain lift hill,NA,78.7392,0,37.28226,1082.664
Mumbo Jumbo,Flamingo Land Theme Park and Zoo,United Kingdom,34.9,Operating,S&S,Steel,Shoulder harness,2009,Chain lift hill,El Loco,98.424,2,NA,NA
Judge Roy Scream,Six flags Over Texas,United States,34.6,Operating,William J. Cobb,Steel,Lap bar,1980,Chain lift hill,NA,72.1776,0,52.816535,2673.852
Wildcat,Hersheypark,United States,34.5,Operating,GCI,Wooden,Lap bar,1996,Chain lift hill,Twister,88.5816,0,50.331051,3182.376
Aktium,CineCittà World,Italy,34.5,Operating,Mack,NA,None,NA,NA,NA,NA,0,NA,NA
La Vibora,Six flags Over Texas,United States,34.4,Operating,Intamin,Steel,Lap bar,1986,Chain lift hill,NA,59.0544,0,31.689921,1489.4832
Woodstock Express,Carowinds,United States,34.1,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1975,Chain lift hill,Twister,NA,0,NA,1354.9704
Spatiale Experience,Nigloland,France,34,Operating,Mack,Steel,Lap bar,1998,Spiral lift,Indoor,59.0544,0,37.28226,2624.64
Devil's Mine,Fort Fun Abenteuerland,Germany,33.5,Operating,Vekoma,Steel,Lap bar,1996,Chain lift hill,NA,65.616,0,NA,1345.128
Grizzly,Kings Dominion,United States,33.4,Operating,Unknown,Wooden,Lap bar,1982,Chain lift hill,Twister,88.5816,0,NA,3149.568
RC Racer,Walt Disney Studios,France,33.1,Operating,Intamin,Steel,Shoulder harness,2010,Magnetic Launch (LIM/LSM),Half Pipe,82.02,0,NA,269.0256
Robin Hood,Walibi Holland,Netherlands,32.9,Definitely closed,Vekoma,Wooden,Lap bar,2e3,Chain lift hill,Out & Back,104.9856,0,49.70968,3280.8
Journey To Atlantis,SeaWorld San Antonio,United States,32.7,Operating,Mack,Steel,Lap bar,2007,Chain lift hill,NA,98.424,0,49.70968,NA
Jimmy Neutron's Atomic Flyer,Movie Park Germany,Germany,32.5,Operating,Vekoma,Steel,Lap bar,2007,Chain lift hill,Family Inverted,42.6504,0,NA,964.5552
Racer 75 (Right Side),Kings Dominion,United States,32.3,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1975,Chain lift hill,NA,85.3008,0,55.92339,3369.3816
Steeplechase,Luna Park,United States,32.3,Operating,Zamperla,Steel,Unknown,2011,Flywheel,Motocoaster,65.616,0,39.767744,1194.2112
Roller Soaker,Hersheypark,United States,32.2,Definitely closed,SetPoint,Steel,Lap bar,2002,Cable lift hill,NA,68.8968,0,20.505243,1299.1968
Huracan,Belantis,Germany,32.1,Operating,Gerstlauer,Steel,Shoulder harness,2010,Chain lift hill,Euro-Fighter,104.9856,5,52.816535,1837.248
Speed of Sound,Walibi Holland,Netherlands,32,Operating,Vekoma,Steel,Shoulder harness,2e3,Chain lift hill,"Shuttle, Boomerang",114.828,3,46.602825,935.028
Bat Coaster,Nigloland,France,32,Relocated,Pinfari,Steel,Shoulder harness,2002,Chain lift hill,NA,65.616,2,43.49597,1312.32
Runaway Mine Train,Alton Towers,United Kingdom,31.8,Operating,Mack,Steel,Shoulder harness,1992,NA,E-Powered,19.6848,0,22.369356,1000.644
Velocity,Flamingo Land Theme Park and Zoo,United Kingdom,31.6,Operating,Vekoma,Steel,Lap bar,2005,Hydraulic cable launch,NA,55.7736,0,52.195164,2109.5544
Gletscherblitz,Steinwasen Park,Germany,31.4,Operating,Mack,E-Powered,Common lap bar,1998,NA,NA,NA,0,27.961695,NA
Pony Express,Knott's Berry Farm,United States,31.4,Operating,Zamperla,Steel,Unknown,2008,Flywheel,Motocoaster,42.6504,0,37.28226,1312.32
Super 8er Bahn,Wiener Prater,Austria,31.2,Operating,Pinfari,Steel,Lap bar,1997,Chain lift hill,NA,68.8968,0,NA,2559.024
Coastersaurus,Legoland Florida,United States,30.9,Operating,Martin & Vleminckx,Steel,Lap bar,2004,Chain lift hill,NA,39.3696,0,32.311292,1364.8128
Gaz Express,Bagatelle,France,30.9,Operating,Soquet,Steel,Lap bar,1987,Chain lift hill,"Mine Train, Family",39.3696,0,37.28226,1312.32
Hochschaubahn,Wiener Prater,Austria,30.8,Operating,Unknown,Wooden,None,1950,Chain lift hill,Family,49.212,0,34.175405,1476.36
Comet,Waldameer,United States,30.8,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1951,Chain lift hill,Twister,36.0888,0,24.85484,1299.1968
Georgia Cyclone,Six Flags Over Georgia,United States,30.8,Retracked,Dinn Corp.,Wooden,Lap bar,1990,Chain lift hill,Twister,95.1432,0,50.331051,2969.124
Iron Dragon,Cedar Point,United States,30.8,Operating,Arrow,Steel,Shoulder harness,1987,Chain lift hill,NA,75.4584,0,39.767744,2821.488
Schweizer Bobbahn,Europa Park,Germany,30.6,Operating,Mack,Steel,Lap bar,1985,Chain lift hill,Bobsled,62.3352,0,31.06855,1597.7496
Odin Ekspressen,Tivoli Gardens,Denmark,30.3,Operating,Mack,Steel,Lap bar,1985,Electrical lift hill,Freeform Powered,NA,0,37.28226,984.24
Psycho Mouse,California's Great America,United States,30,Operating,Arrow,Steel,Lap bar,2001,Chain lift hill,Wild Mouse,NA,0,NA,1256.5464
Linnunrata,Linnanmäki,Finland,29.9,Operating,Zierer,Steel,Lap bar,2e3,Booster wheel lift hill,NA,22.9656,0,24.85484,1181.088
Le Grand canyon,Fraispertuis City,France,29.6,Operating,Soquet,Steel,Common lap bar,NA,Chain lift hill,Family,39.3696,0,31.06855,1246.704
Train de Mine,Parc du Bocasse,France,29.4,Operating,Soquet,Steel,Lap bar,2004,Chain lift hill,NA,NA,0,NA,NA
Le Train de la Mine d'Or,Nigloland,France,29.3,Operating,Mack,Steel,Lap bar,1992,Electrical lift hill,E-Powered,26.2464,0,22.369356,NA
Apocalypse,Six Flags America,United States,29.2,Operating,B&M,Steel,Shoulder harness,2012,Chain lift hill,NA,101.7048,2,55.302019,2900.2272
Spinner,Skara Sommarland,Sweden,29.1,Operating,Maurer,NA,Lap bar,2011,NA,NA,36.0888,0,22.369356,984.24
Dawson Duel (Right),Bellewaerde,Belgium,29.1,Operating,Wiegand,NA,None,2017,Cable lift hill,NA,82.02,0,24.85484,1607.592
Roar,Six Flags America,United States,29,Operating,GCI,Steel,Lap bar,1998,Chain lift hill,NA,88.5816,0,50.331051,3198.78
Dawson Duel (Left),Bellewaerde,Belgium,29,Operating,Wiegand,Family,None,2017,NA,NA,82.02,0,24.85484,1607.592
Rasender Roland,Hansa Park,Germany,28.8,Operating,Vekoma,Steel,Lap bar,1993,Chain lift hill,NA,52.4928,0,31.06855,1712.5776
